Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2009,3,27,18,0,47,459,115,-11.159063720703102,15.687158203125023,951.4203491210938,14.707276344299316,4.105261325836182,302.3048095703125,1.230324387550354
2009,3,27,18,30,18,146,23,-10.819006347656227,14.979119873046898,951.67236328125,15.812897682189941,4.133065223693848,302.3048095703125,1.1843268871307373
2009,3,27,19,0,0,0,0,-10.486700439453102,14.271112060546898,951.9243774414062,16.99410629272461,4.1608686447143555,300.03839111328125,1.1383295059204102
2009,3,27,19,30,0,0,0,-11.504919433593727,13.884210205078148,952.2115478515625,16.06965446472168,4.206461429595947,300.03839111328125,1.0379490852355957
2009,3,27,20,0,0,0,0,-12.604132080078102,13.497277832031273,952.4987182617188,15.086905479431152,4.252054214477539,322.606201171875,0.9375686645507812
2009,3,27,20,30,0,0,0,-11.449041748046852,13.127160644531273,952.579345703125,16.956769943237305,4.347176551818848,322.606201171875,0.9505717158317566
2009,3,27,21,0,0,0,0,-10.380773925781227,12.757043457031273,952.659912109375,18.911853790283203,4.442298889160156,7.1606597900390625,0.9635747671127319
2009,3,27,21,30,0,0,0,-11.319219970703102,12.375878906250023,952.7315673828125,17.9971981048584,4.496185779571533,7.1606597900390625,1.2590053081512451
2009,3,27,22,0,0,0,0,-12.325476074218727,11.994683837890648,952.8032836914062,17.02457046508789,4.55007266998291,43.6314811706543,1.5544357299804688
2009,3,27,22,30,0,0,0,-12.282507324218727,11.546624755859398,952.86865234375,17.596073150634766,4.576463222503662,43.6314811706543,1.9663435220718384
2009,3,27,23,0,0,0,0,-12.239721679687477,11.098535156250023,952.9339599609375,18.188350677490234,4.602853775024414,59.54463195800781,2.378251314163208
2009,3,27,23,30,0,0,0,-11.799200439453102,10.501733398437523,952.8642578125,19.60556411743164,4.647056579589844,59.54463195800781,2.7144808769226074
2009,3,28,0,0,0,0,0,-11.371954345703102,9.904962158203148,952.7946166992188,21.11188316345215,4.691259860992432,65.14186096191406,3.0507102012634277
2009,3,28,0,30,0,0,0,-10.852972412109352,9.218286132812523,952.7955322265625,23.040733337402344,4.788625717163086,65.14186096191406,3.255783796310425
2009,3,28,1,0,0,0,0,-10.352117919921852,8.531640625000023,952.79638671875,25.111448287963867,4.88599157333374,65.45008087158203,3.460857391357422
2009,3,28,1,30,0,0,0,-10.065679931640602,7.916101074218773,952.9031372070312,26.781749725341797,5.011839866638184,65.45008087158203,3.505613327026367
2009,3,28,2,0,0,0,0,-9.784796142578102,7.300592041015648,953.0098876953125,28.5549373626709,5.137687683105469,63.11656951904297,3.5503690242767334
2009,3,28,2,30,0,0,0,-9.680761718749977,6.882409667968773,953.0081787109375,29.62587547302246,5.215467929840088,63.11656951904297,3.5710368156433105
2009,3,28,3,0,0,0,0,-9.577490234374977,6.464257812500023,953.0064697265625,30.737764358520508,5.293248176574707,61.017112731933594,3.591704845428467
2009,3,28,3,30,0,0,0,-9.561865234374977,6.117974853515648,953.0528564453125,31.51873016357422,5.385505199432373,61.017112731933594,3.6249701976776123
2009,3,28,4,0,0,0,0,-9.546270751953102,5.771722412109398,953.0991821289062,32.32145690917969,5.477762222290039,60.098655700683594,3.658235549926758
2009,3,28,4,30,0,0,0,-9.548681640624977,5.429528808593773,953.20263671875,33.09069061279297,5.568932056427002,60.098655700683594,3.6756739616394043
2009,3,28,5,0,0,0,0,-9.551153564453102,5.087365722656273,953.3060913085938,33.88024139404297,5.660101890563965,60.646331787109375,3.69311261177063
2009,3,28,5,30,0,0,0,-9.582525634765602,4.957604980468773,953.6914672851562,34.10349655151367,5.733349323272705,60.646331787109375,3.6748294830322266
2009,3,28,6,0,0,0,0,-9.613989257812477,4.827874755859398,954.0768432617188,34.328155517578125,5.806596755981445,60.764060974121094,3.6565463542938232
2009,3,28,6,30,11,74,13,-9.676580810546852,6.046685791015648,954.2579345703125,31.38977813720703,5.861627578735352,60.764060974121094,3.418077230453491
2009,3,28,7,0,42,404,94,-9.739996337890602,7.265496826171898,954.4390258789062,28.724628448486328,5.916658401489258,60.955963134765625,3.179608106613159
2009,3,28,7,30,63,597,204,-10.065557861328102,9.811975097656273,954.5905151367188,23.564647674560547,5.923078536987305,60.955963134765625,2.8219292163848877
2009,3,28,8,0,77,715,321,-10.401190185546852,12.358453369140648,954.7420043945312,19.38129425048828,5.929498195648193,64.04241943359375,2.464250326156616
2009,3,28,8,30,88,795,437,-11.741156005859352,15.433648681640648,954.673095703125,14.269018173217773,5.880613327026367,64.04241943359375,2.156785488128662
2009,3,28,9,0,97,850,548,-13.220831298828102,18.508843994140648,954.6041870117188,10.422831535339355,5.831727981567383,70.70736694335938,1.849320888519287
2009,3,28,9,30,104,891,651,-13.779608154296852,20.603997802734398,954.32421875,8.744431495666504,5.7481536865234375,70.70736694335938,1.3674139976501465
2009,3,28,10,0,110,921,742,-14.362982177734352,22.699151611328148,954.0442504882812,7.334958076477051,5.664579391479492,59.914737701416016,0.8855069875717163
2009,3,28,10,30,114,944,820,-14.253515624999977,23.833703613281273,953.5853271484375,6.910804748535156,5.580774784088135,59.914737701416016,0.6463114619255066
2009,3,28,11,0,118,960,883,-14.147039794921852,24.968286132812523,953.12646484375,6.513301849365234,5.4969706535339355,344.00836181640625,0.4071159362792969
2009,3,28,11,30,120,971,930,-14.041296386718727,25.553369140625023,952.53466796875,6.345033645629883,5.421034336090088,344.00836181640625,0.63504558801651
2009,3,28,12,0,122,978,959,-13.937200927734352,26.138421630859398,951.9428100585938,6.181170463562012,5.345098495483398,292.16339111328125,0.8629752397537231
2009,3,28,12,30,122,981,970,-13.841711425781227,26.376062011718773,951.447021484375,6.142674446105957,5.296997547149658,292.16339111328125,1.1056013107299805
2009,3,28,13,0,122,979,963,-13.747198486328102,26.613671875000023,950.9512329101562,6.104069709777832,5.248897075653076,281.2906188964844,1.3482275009155273
2009,3,28,13,30,121,974,938,-13.662939453124977,26.591790771484398,950.5047607421875,6.154030799865723,5.236612796783447,281.2906188964844,1.4557240009307861
2009,3,28,14,0,118,964,895,-13.579260253906227,26.569940185546898,950.058349609375,6.204061508178711,5.224328994750977,273.2325439453125,1.5632206201553345
2009,3,28,14,30,115,950,835,-13.526342773437477,26.227838134765648,949.7933349609375,6.357870101928711,5.232182502746582,273.2325439453125,1.6305201053619385
2009,3,28,15,0,111,929,760,-13.473760986328102,25.885736083984398,949.5283203125,6.515643119812012,5.2400360107421875,263.536865234375,1.6978195905685425
2009,3,28,15,30,105,901,671,-13.476538085937477,25.158563232421898,949.2978515625,6.801663875579834,5.265203475952148,263.536865234375,1.7928516864776611
2009,3,28,16,0,99,863,571,-13.480017089843727,24.431390380859398,949.0673828125,7.101506233215332,5.290370941162109,254.4253692626953,1.8878837823867798
2009,3,28,16,30,90,811,461,-13.571356201171852,23.323144531250023,948.9971923828125,7.534653663635254,5.32526159286499,254.4253692626953,1.9931080341339111
2009,3,28,17,0,80,738,345,-13.665106201171852,22.214898681640648,948.9269409179688,7.997058391571045,5.360152244567871,247.0942840576172,2.098332405090332
2009,3,28,17,30,66,629,228,-13.101538085937477,20.240899658203148,948.8845825195312,9.449152946472168,5.402796268463135,247.0942840576172,2.1378798484802246
2009,3,28,18,0,47,454,115,-12.560980224609352,18.266870117187523,948.8422241210938,11.162128448486328,5.445440769195557,239.74087524414062,2.177427053451538
2009,3,28,18,30,18,150,24,-11.988989257812477,17.386773681640648,948.9317016601562,12.353472709655762,5.490016460418701,239.74087524414062,2.0111517906188965
