Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2005,2,1,21,0,0,0,0,-0.48160400390622726,9.795037841796898,957.6860961914062,48.78231430053711,8.473111152648926,46.14936065673828,3.666710376739502
2005,2,1,21,30,0,0,0,-0.6787475585937273,9.161950683593773,957.8642578125,50.17578125,8.151618957519531,46.14936065673828,3.9196884632110596
2005,2,1,22,0,0,0,0,-0.8788818359374773,8.528833007812523,958.0424194335938,51.60768127441406,7.830127239227295,46.95732116699219,4.172666549682617
2005,2,1,22,30,0,0,0,-0.9432128906249773,7.965112304687523,958.09912109375,53.36795425415039,7.534390449523926,46.95732116699219,4.314306259155273
2005,2,1,23,0,0,0,0,-1.0080627441406023,7.401391601562523,958.1558227539062,55.19565963745117,7.238653182983398,47.59235382080078,4.45594596862793
2005,2,1,23,30,0,0,0,-1.0720275878906023,6.945153808593773,958.365478515625,56.67994689941406,7.067877769470215,47.59235382080078,4.5218400955200195
2005,2,2,0,0,0,0,0,-1.1364501953124773,6.488916015625023,958.5751953125,58.208824157714844,6.897102355957031,47.606658935546875,4.587734699249268
2005,2,2,0,30,0,0,0,-1.3111328124999773,6.065972900390648,958.6586303710938,59.16836166381836,6.8070573806762695,47.606658935546875,4.587148666381836
2005,2,2,1,0,0,0,0,-1.4880126953124773,5.643060302734398,958.7420654296875,60.13877487182617,6.717012405395508,47.84825134277344,4.5865631103515625
2005,2,2,1,30,0,0,0,-1.6991638183593523,5.352471923828148,958.719970703125,60.4182243347168,6.639581203460693,47.84825134277344,4.54838752746582
